rate,title,url,cover,id,is_new,cover_x,cover_y,playable,episodes_info
8.4,你的名字。,https://movie.douban.com/subject/26683290/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.jpg,26683290,False,1428,2000,True,
9.2,三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,3793023,False,3030,4364,True,
9.3,楚门的世界,https://movie.douban.com/subject/1292064/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,1292064,False,997,1500,True,
9.3,星际穿越,https://movie.douban.com/subject/1889243/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg,1889243,False,1080,1572,True,
8.9,让子弹飞,https://movie.douban.com/subject/3742360/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,3742360,False,1500,2200,True,
9.3,海上钢琴师,https://movie.douban.com/subject/1292001/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg,1292001,False,1100,1578,True,
9.2,大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,1292213,False,3645,5103,True,
8.8,寄生虫,https://movie.douban.com/subject/27010768/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.jpg,27010768,False,1500,2138,False,
9.4,忠犬八公的故事,https://movie.douban.com/subject/3011091/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p524964039.jpg,3011091,False,2113,3000,True,
9.1,当幸福来敲门,https://movie.douban.com/subject/1849031/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.jpg,1849031,False,4030,6006,True,
8.6,釜山行,https://movie.douban.com/subject/25986180/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg,25986180,False,1500,2145,False,
8.8,阿凡达,https://movie.douban.com/subject/1652587/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2634997853.jpg,1652587,False,3000,4309,False,
